Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"L1","47uH","IND-SMD_L12.3-W12.3",78.750000,-89.710000,0.000000,top
"L2","47uH","IND-SMD_L12.3-W12.3",234.430000,-111.820000,0.000000,top
"Q1","AOD4184A","DPAK228P994X240-4N",200.265000,-120.160000,0.000000,top
"Q2","AOD4184A","DPAK228P994X240-4N",190.231000,-120.050000,0.000000,top
"Q3","AOD4184A","DPAK228P994X240-4N",179.939000,-120.060000,0.000000,top
"Q4","AOD4184A","DPAK228P994X240-4N",210.785000,-120.000000,0.000000,top
"Q5","AOD4184A","DPAK228P994X240-4N",90.171944,-63.911032,90.000000,top
"R1","10K","R_0402_1005Metric",135.570000,-123.180000,0.000000,top
"R2","10K","R_0402_1005Metric",150.260000,-132.700000,180.000000,top
"R3","10K","R_0603_1608Metric",160.390000,-65.520000,90.000000,top
"R4","10K","R_0603_1608Metric",158.740000,-65.520000,90.000000,top
"R5","10K","R_0603_1608Metric",157.380000,-87.800000,-90.000000,top
"R6","10K","R_0603_1608Metric",113.030000,-66.080000,90.000000,top
"R7","10K","R_0603_1608Metric",114.840000,-66.080000,90.000000,top
"R8","10K","R_0603_1608Metric",111.610000,-87.810000,-90.000000,top
"R9","10K","R_0603_1608Metric",135.890000,-66.085000,90.000000,top
"R10","10K","R_0603_1608Metric",137.640000,-66.085000,90.000000,top
"R11","10K","R_0603_1608Metric",133.580000,-87.840000,-90.000000,top
"R12","10K","R_0603_1608Metric",181.620000,-66.085000,90.000000,top
"R13","10K","R_0603_1608Metric",181.630000,-70.270000,-90.000000,top
"R14","10K","R_0603_1608Metric",178.390000,-89.040000,-135.000000,top
"R15","10K","R_0603_1608Metric",204.490000,-66.085000,90.000000,top
"R16","10K","R_0603_1608Metric",204.490000,-70.270000,-90.000000,top
"R17","10K","R_0603_1608Metric",205.350000,-82.840000,45.000000,top
"R18","10K","R_0603_1608Metric",227.360000,-66.560000,90.000000,top
"R19","10K","R_0603_1608Metric",227.470000,-70.770000,-90.000000,top
"R20","10K","R_0603_1608Metric",217.960000,-87.150000,180.000000,top
"R21","10K","R_0603_1608Metric",200.165000,-126.803000,0.000000,top
"R22","330R","R_0402_1005Metric",161.760000,-124.430000,180.000000,top
"R23","4.7K","R_0805_2012Metric",65.676250,-133.830000,-90.000000,top
"R24","10K","R_0402_1005Metric",167.030000,-132.250000,0.000000,top
"R25","330R","R_0402_1005Metric",161.760000,-123.190000,180.000000,top
"R26","10K","R_0603_1608Metric",190.245000,-126.690000,0.000000,top
"R27","330R","R_0402_1005Metric",161.760000,-125.650000,180.000000,top
"R28","10K","R_0603_1608Metric",210.821000,-126.640000,0.000000,top
"R29","330R","R_0402_1005Metric",135.580000,-124.280000,0.000000,top
"R30","10K","R_0603_1608Metric",91.850000,-69.910000,180.000000,top
"R33","330R","R_0402_1005Metric",161.760000,-121.900000,180.000000,top
"R34","10K","R_0603_1608Metric",180.075000,-126.700000,0.000000,top
"R39","4.7K","R_0402_1005Metric",156.650000,-130.150000,90.000000,top
"R40","4.7K","R_0402_1005Metric",159.430000,-129.090000,135.000000,top
"R41","10K","R_0402_1005Metric",105.570000,-110.988500,0.000000,top
"R42","10K","R_0402_1005Metric",103.190000,-110.520000,0.000000,top
"R43","10K","R_0402_1005Metric",93.370000,-110.740000,90.000000,top
"R44","10K","R_0402_1005Metric",87.260000,-111.730000,180.000000,top
"R45","10K","R_0402_1005Metric",108.670000,-112.050000,0.000000,top
"R46","10K","R_0402_1005Metric",100.460000,-108.790000,90.000000,top
"R47","10K","R_0402_1005Metric",89.980000,-111.720000,0.000000,top
"R48","4.7K","R_0402_1005Metric",155.640000,-132.910000,90.000000,top
"R50","330R","R_0402_1005Metric",167.030000,-131.180000,0.000000,top
"Reset2","Reset","SW_Push_1P1T_XKB_TS-1187A",134.890000,-139.365000,0.000000,top
"U1","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",104.337500,-75.800000,0.000000,top
"U2","LM2596S-3.3","TO-263-5_TabPin3",61.400000,-88.010000,180.000000,top
"U3","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",127.207000,-75.800000,0.000000,top
"U4","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",150.076500,-75.800000,0.000000,top
"U5","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",172.946000,-75.800000,0.000000,top
"U6","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",195.815500,-75.800000,0.000000,top
"U7","TMC2209_SILENTSTEPSTICK","MODULE_TMC2209_SILENTSTEPSTICK",218.685000,-75.800000,0.000000,top
"U8","LM2596S-5","TO-263-5_TabPin3",231.140000,-94.955000,90.000000,top
"U9","USBLC6-2SC6","SOT-23-6",81.460000,-124.230000,0.000000,top
"Y2","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",144.880000,-134.880000,180.000000,top
